model,date,point,lower,upper
USC,2020-03-08,1.26,,
USC,2020-03-15,1.26,,
USC,2020-03-22,1.77,,
USC,2020-03-29,2.23,,
USC,2020-04-05,1.06,,
USC,2020-04-12,1.24,,
USC,2020-04-19,2.25,,
USC,2020-04-26,1.82,,
USC,2020-05-03,2.57,,
USC,2020-05-10,1.00,,
USC,2020-05-17,0.90,,
USC,2020-05-24,0.92,,
USC,2020-05-31,0.80,,
USC,2020-06-07,0.97,,
USC,2020-06-14,1.03,,
USC,2020-06-21,1.08,,
USC,2020-06-28,0.99,,
USC,2020-07-05,0.99,,
USC,2020-07-19,0.82,,
USC,2020-07-26,0.95,,
USC,2020-08-01,0.95,,
YYG,2020-03-08,1.76,,
YYG,2020-03-15,1.75,,
YYG,2020-03-22,1.73,,
YYG,2020-03-29,1.67,,
YYG,2020-04-05,1.46,,
YYG,2020-04-12,1.11,,
YYG,2020-04-19,0.94,,
YYG,2020-04-26,0.89,,
YYG,2020-05-03,0.88,,
YYG,2020-05-10,0.88,,
YYG,2020-05-17,0.87,,
YYG,2020-05-24,0.87,,
YYG,2020-05-31,0.87,,
YYG,2020-06-07,0.87,,
YYG,2020-06-14,0.87,,
YYG,2020-06-21,0.88,,
YYG,2020-06-28,0.90,,
YYG,2020-07-05,0.94,,
YYG,2020-07-19,1.09,,
YYG,2020-07-26,1.10,,
YYG,2020-08-02,1.04,0.88,1,26
YYG,2020-08-09,1.00,0.88,1.18
Imperial,2020-05-17,1.74,0.95,2.63
Imperial,2020-05-24,1.06,0.64,1.71
Imperial,2020-05-31,1.27,0.78,1.96
Imperial,2020-06-07,0.88,0.52,1.36
Imperial,2020-06-14,0.71,0.34,1.18
Imperial,2020-06-21,0.82,0.56,1.18
Imperial,2020-06-28,0.82,0.34,1.23
Imperial,2020-07-05,0.94,0.66,1.93
Imperial,2020-07-12,1.00,0.64,1.82
Imperial,2020-07-19,1.03,0.64,1.99
Imperial,2020-07-26,1.18,0.75,2.32
Imperial,2020-08-02,0.92,0.32,1,38
Imperial,2020-08-09,0.88,0.54,1.38
Geneva,2020-03-15,1.91,1.30,2.65
Geneva,2020-03-22,1.12,0.79,1.2
Geneva,2020-03-29,1.40,1.04,1.81
Geneva,2020-04-05,2.33,2.1,3.05
Geneva,2020-04-12,1.26,1.13,1.40
Geneva,2020-04-19,1.17,1.06,1.29
Geneva,2020-04-26,1.45,1.35,1.56
Geneva,2020-05-03,1.39,1.31,1.47
Geneva,2020-05-10,1.56,1.50,1.63
Geneva,2020-05-17,1.28,1.24,1.33
Geneva,2020-05-24,0.97,0.94,1.00
Geneva,2020-05-31,1.00,0.96,1.03
Geneva,2020-06-07,0.86,0.83,0.90
Geneva,2020-06-14,0.82,0.82,0.90
Geneva,2020-06-21,1.01,0.97,1.05
Geneva,2020-06-28,1.11,1.07,1.15
Geneva,2020-07-05,1.00,0.96,1.03
Geneva,2020-07-12,0.99,0.95,1.03
Geneva,2020-07-19,0.97,0.93,1.0
Geneva,2020-07-26,1.02,1.04,1.08
Geneva,2020-08-02,0.88,0.84,0.91
Geneva,2020-08-09,0.95,0.99,1.03
MOH,2020-03-08,1.875,0.75,3.25
MOH,2020-03-15,1.12,0.6,1.8
MOH,2020-03-22,1.55,0.923,2.156
MOH,2020-03-29,2.327,1.286,3.429
MOH,2020-04-05,1.173,0.991,1.367
MOH,2020-04-12,1.261,1.015,1.522
MOH,2020-04-19,1.522,1.272,1.778
MOH,2020-04-26,1.304,1.119,1.485
MOH,2020-05-03,1.512,1.363,1.662
MOH,2020-05-10,1.36,1.3,1.421
MOH,2020-05-17,1.025,0.969,1.081
MOH,2020-05-24,1.01,0.947,1.076
MOH,2020-05-31,0.882,0.822,0.947
MOH,2020-06-07,0.921,0.855,0.988
MOH,2020-06-14,0.929,0.863,0.996
MOH,2020-06-21,1.069,0.993,1.145
MOH,2020-06-28,1.009,0.926,1.092
MOH,2020-07-05,0.972,0.902,1.043
MOH,2020-07-12,0.958,0.874,1.041
MOH,2020-07-19,1.049,0.968,1.132
MOH,2020-07-26,1.05,0.963,1.141
MOH,2020-08-02,1.02,1.03,1.04
KFAS,2020-03-08,1.315,1.068,1.935
KFAS,2020-03-15,1.343,1.146,1.816
KFAS,2020-03-22,0.877,0.735,1.223
KFAS,2020-03-29,2.794,2.567,3.299
KFAS,2020-04-05,2.029,1.929,2.243
KFAS,2020-04-12,1.014,0.961,1.129
KFAS,2020-04-19,1.598,1.537,1.726
KFAS,2020-04-26,1.442,1.397,1.536
KFAS,2020-05-03,1.515,1.479,1.589
KFAS,2020-05-10,1.677,1.649,1.734
KFAS,2020-05-17,1.136,1.118,1.173
KFAS,2020-05-24,0.927,0.912,0.96
KFAS,2020-05-31,0.832,0.817,0.863
KFAS,2020-06-07,0.858,0.841,0.893
KFAS,2020-06-14,0.877,0.859,0.916
KFAS,2020-06-21,1.291,1.268,1.338
KFAS,2020-06-28,0.989,0.971,1.027
KFAS,2020-07-05,0.938,0.921,0.974
KFAS,2020-07-12,0.978,0.96,1.015
KFAS,2020-07-19,0.969,0.95,1.008
KFAS,2020-07-26,0.901,0.883,0.938
KFAS,2020-08-02,0.92,0.901,0.96